state,x,y
Alabama,139,-241
Alaska,-1264,-457
Arizona,-1146,-228
Arkansas,63,-202
California,-1154,-127
Colorado,-911,-89
Connecticut,297,11
Delaware,275,-42
Florida,195,-334
Georgia,154,-193
Hawaii,-1058,-383
Idaho,-1132,25
Illinois,-217,-52
Indiana,-149,-40
Iowa,-379,2
Kansas,-528,-83
Kentucky,-104,-74
Louisiana,-65,-260
Maine,335,118
Maryland,288,-73
Massachusetts,312,33
Michigan,-75,35
Minnesota,-337,98
Mississippi,-39,-239
Missouri,-272,-114
Montana,-1088,117
Nebraska,-574,-24
Nevada,-1205,-86
New Hampshire,298,96
New Jersey,283,-18
New Mexico,-979,-188
New York,236,15
North Carolina,204,-114
North Dakota,-759,119
Ohio,-104,-17
Oklahoma,-627,-178
Oregon,-1241,0
Pennsylvania,231,-24
Rhode Island,318,0
South Carolina,200,-168
South Dakota,-750,20
Tennessee,-119,-160
Texas,-736,-258
Utah,-1105,-54
Vermont,273,66
Virginia,232,-100
Washington,-1203,66
West Virginia,196,-73
Wisconsin,-300,77
Wyoming,-968,30
